Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two,alcohol,dance,veg,pet,music,valet,buffet,vegan,rooftop,sugarfree,takeawayonly
Cafe Old Delhi,https://www.zomato.com/pune/cafe-old-delhi-viman-nagar,Viman Nagar,3.6,North Indian,450,0,0,0,0,0,0,0,0,0,0,0
Annapurna Kithchen,https://www.zomato.com/pune/annapurna-kithchen-wadgaon-sheri,Wadgaon Sheri,3.4,North Indian,,0,0,0,0,0,0,0,0,0,0,0
Club Shawarma,https://www.zomato.com/pune/club-shawarma-pimpri,Pimpri,3.3,"Lebanese, Juices, Beverages",350,0,0,0,0,0,0,0,0,0,0,0
Shubham Food & Tiffin Services,https://www.zomato.com/pune/shubham-food-tiffin-services-chandan-nagar,Chandan Nagar,0,Maharashtrian,,0,0,0,0,0,0,0,0,0,0,0
Minimelts,https://www.zomato.com/pune/minimelts-kalyani-nagar,Kalyani Nagar,3.5,Ice Cream,250,0,0,1,0,0,0,0,0,0,0,0
Rupam Chikki & Namkeens,https://www.zomato.com/pune/rupam-chikki-namkeens-lonavala,Lonavala,0,"Mithai, Street Food",300,0,0,1,0,0,0,0,0,0,0,0
Hotel Aamantran,https://www.zomato.com/pune/hotel-aamantran-1-chakan,Chakan,0,"North Indian, Chinese, South Indian, Malwani",500,0,0,0,0,0,0,0,0,0,0,0
Parathawale,https://www.zomato.com/pune/parathawale-kothrud,Kothrud,3.5,North Indian,,0,0,0,0,0,0,0,0,0,0,0
Hotel Shree Vinayaka Pure Veg,https://www.zomato.com/pune/hotel-shree-vinayaka-pure-veg-pimple-gurav,Pimple Gurav,3.1,North Indian,200,0,0,1,0,0,0,0,0,0,0,0
Satvik Homemade Jain Foods,https://www.zomato.com/pune/satvik-homemade-jain-foods-chinchwad,Chinchwad,0,"South Indian, North Indian, Chinese",,0,0,0,0,0,0,0,0,0,0,0
London Street Lounge & Restaurant,https://www.zomato.com/pune/london-street-lounge-restaurant-kharadi,Kharadi,3.2,"North Indian, Continental",1000,0,0,0,0,0,0,0,0,0,0,0
Shree Sai Veg Non-Veg Restaurant,https://www.zomato.com/pune/shree-sai-veg-non-veg-restaurant-model-colony,Model Colony,3.2,"North Indian, Maharashtrian, Chinese, Biryani",500,0,0,0,0,0,0,0,0,0,0,0
Masala ChaiWala,https://www.zomato.com/pune/masala-chaiwala-wadgaon-sheri,KP and Kalyani,3.6,"Tea, Fast Food",,0,0,0,0,0,0,0,0,0,0,0
Chai Garam,https://www.zomato.com/pune/chai-garam-nibm-road,NIBM Road,0,Fast Food,200,0,0,0,0,0,0,0,0,0,0,0
Arun Ice Creams,https://www.zomato.com/pune/arun-ice-creams-dhankawadi,Dhankawadi,3.6,Ice Cream,250,0,0,1,0,0,0,0,0,0,0,0
The Golden Box(TGB),https://www.zomato.com/pune/the-golden-box-tgb-pimple-nilakh,Pimple Nilakh,3.7,"North Indian, Chinese, Thai, Fast Food",500,0,0,0,0,0,0,0,0,0,0,0
Cakes N Bites,https://www.zomato.com/pune/cakes-n-bites-hinjawadi,Hinjawadi,2.9,Street Food,200,0,0,1,0,0,0,0,0,0,0,0
Sandwich Katta,https://www.zomato.com/pune/sandwich-katta-1-erandwane,Erandwane,3.2,"Fast Food, Sandwich, Beverages",250,0,0,0,0,0,0,0,0,0,0,0
I.K Caterer's Biryani,https://www.zomato.com/pune/i-k-caterers-biryani-kharadi,Kharadi,3.3,Biryani,300,0,0,0,0,0,0,0,0,0,0,0
Shake O Holic,https://www.zomato.com/pune/shake-o-holic-wakad,Wakad,3.9,Beverages,400,0,0,0,0,0,0,0,0,0,0,0
Hotel Sudama Garden And Family Restaurant,https://www.zomato.com/pune/hotel-sudama-garden-and-family-restaurant-bhosari,Bhosari,0,"North Indian, Chinese, Malwani",550,0,0,0,0,0,0,0,0,0,0,0
