,user_id,index,loc,sponsor,votes,rating,charge,cuisine,alcohol,veg,vegan,sugarfree,buff
12888,5,8627,Pune University,Quick Bites,0,0.0,250,"Maharashtrian, North Indian, South Indian, Fast Food",0,0,0,0,0
14769,5,7281,Wanowrie Kondhwa Area,Delivery,4,2.9,0,"Rolls, Fast Food",0,0,0,0,0
14536,5,2023,Kharadi,Delivery,0,0.0,0,North Indian,0,0,0,0,0
17098,6,921,Camp Area,Casual Dining,586,3.9,550,"Chinese, North Indian, South Indian, Fast Food, Beverages",0,1,0,0,0
6994,6,6326,Baner,Delivery,673,3.9,0,"Modern Indian, North Indian, Salad, Continental, Asian",0,0,0,0,0
913,6,4415,Ravet,Quick Bites,54,3.3,550,"North Indian, Chinese, Kebab, Mughlai",0,0,0,0,0
14235,6,4252,Chinchwad,"Bar, Casual Dining",133,3.7,1600,"North Indian, Chinese, Fast Food",0,0,0,0,0
4241,6,1840,Hinjawadi,Quick Bites,380,3.5,400,"Biryani, North Indian",0,0,0,0,0
17691,6,7652,Parvati,Quick Bites,0,0.0,250,Maharashtrian,0,1,0,0,0
9641,6,8862,KP and Kalyani,Delivery,94,2.9,0,"North Indian, Chinese",0,0,0,0,0
10605,6,29,Senapati Bapat Road,Club,2039,4.3,2500,Finger Food,0,0,0,0,0
9814,6,10645,Wagholi,Delivery,0,0.0,0,"North Indian, Chinese, Biryani",0,0,0,0,0
2998,6,8105,Talegaon,Dessert Parlor,0,0.0,250,Ice Cream,0,1,0,0,0
10527,6,3428,Sinhgad Road,Quick Bites,92,3.1,300,"Maharashtrian, Chinese, North Indian",0,0,0,0,0
16046,6,2792,Parvati,Quick Bites,13,3.3,300,Fast Food,0,1,0,0,0
6772,6,3412,Hadapsar,Quick Bites,36,3.5,500,Chinese,0,0,0,0,0
14250,6,1152,Lohegaon,Quick Bites,0,0.0,250,"Street Food, North Indian",0,1,0,0,0
17582,6,2477,Sadashiv Peth,Café,9,3.3,300,"Beverages, Fast Food",0,0,0,0,0
19181,6,7113,NIBM Road,Café,0,0.0,300,Cafe,0,0,0,0,0
4268,6,11977,Baner,Quick Bites,6,2.9,300,Biryani,0,0,0,0,0
7006,6,2292,Baner,Quick Bites,0,0.0,200,"Sandwich, Fast Food",0,0,0,0,0
14260,6,6714,Ravet,Quick Bites,5,3.1,400,"Biryani, North Indian",0,0,0,0,0
7501,6,4656,Viman Nagar,Quick Bites,19,3.5,300,"Chinese, Fast Food",0,0,0,0,0
280,6,8676,Nigdi,"Takeaway, Delivery",0,0.0,0,Seafood,0,0,0,0,0
9736,6,4629,Hadapsar,Quick Bites,19,3.2,200,Chinese,0,0,0,0,0
12600,6,3799,"Magarpatta, Pune Sholapur Rd",Delivery,101,2.9,0,"North Indian, Chinese, Hyderabadi",0,0,0,0,0
6548,6,10763,Katraj,Quick Bites,0,0.0,150,Maharashtrian,0,1,0,0,0
5978,6,7872,Chinchwad,Quick Bites,0,0.0,150,South Indian,0,1,0,0,0
6518,6,11831,Chakan,"Casual Dining, Bar",26,3.4,700,"North Indian, Chinese, Seafood",0,0,0,0,0
4323,6,3926,Pune-Solapur Road,Quick Bites,0,0.0,400,"Chinese, North Indian, South Indian",0,0,0,0,0
8498,6,1185,Baner,Café,891,4.5,250,"Cafe, Bakery, Fast Food, Juices, Frozen Yogurt",0,1,0,0,0
5004,6,1465,Lonavala,Quick Bites,153,4.0,100,Street Food,0,0,0,0,0
3287,6,2614,Viman Nagar,Delivery,9,3.3,0,"Chinese, North Indian",0,0,0,0,0
7828,6,1924,Magarpatta,Quick Bites,60,3.0,250,"Fast Food, Tea, Beverages",0,0,0,0,0
1314,6,12024,Akurdi,Quick Bites,20,3.5,250,"North Indian, Chinese",0,0,0,0,0
5438,6,3263,Pimpri,Quick Bites,16,3.4,250,Fast Food,0,0,0,0,0
836,6,3652,Sinhgad Road,Quick Bites,0,0.0,300,"Pizza, Fast Food",0,0,0,0,0
12143,6,6793,Wakad,Quick Bites,0,0.0,200,"Pizza, Sandwich, Fast Food, Beverages",0,0,0,0,0
1055,6,7797,Mahalunge,Quick Bites,0,0.0,450,Chinese,0,0,0,0,0
12110,6,239,Hinjawadi,"Takeaway, Delivery",309,4.0,0,North Indian,0,1,0,0,0
15187,6,4092,Chandan Nagar,Delivery,0,0.0,0,"North Indian, Desserts",0,0,0,0,0
15500,6,4005,East Street,Quick Bites,71,3.8,100,Street Food,0,1,0,0,0
1646,6,2642,Chinchwad,"Casual Dining, Bar",29,3.5,1100,"North Indian, Chinese",0,0,0,0,0
17367,6,3880,Karve Nagar,Quick Bites,58,3.7,700,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
13018,6,5080,Swargate,Food Court,0,0.0,500,Chinese,0,1,0,0,0
12621,6,3338,Wakad,Quick Bites,10,3.2,150,Street Food,0,0,0,0,0
6115,6,3020,Shivaji Nagar,Delivery,0,0.0,0,Biryani,0,0,0,0,0
9495,6,7332,Wadgaon Sheri,Quick Bites,14,3.4,150,Street Food,0,0,0,0,0
12432,6,5232,Shivaji Nagar,Casual Dining,0,0.0,800,"North Indian, Chinese",0,0,0,0,0
11801,6,11203,Parvati,Quick Bites,0,0.0,250,Fast Food,0,1,0,0,0
2560,6,6255,Koregaon Park,Quick Bites,0,0.0,450,"Chinese, Fast Food, North Indian",0,0,0,0,0
17951,6,11201,Kothrud,Quick Bites,0,0.0,200,"North Indian, Street Food, Fast Food",0,1,0,0,0
1032,6,3230,Baner,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese",0,0,0,0,0
10381,6,287,Baner,"Bar, Casual Dining",81,4.4,1400,"North Indian, Asian, Mughlai, Bar Food",0,0,0,0,1
19186,6,733,Hadapsar,Quick Bites,30,3.5,400,"North Indian, Chinese",0,0,0,0,0
11553,6,8217,Kothrud Area,Food Truck,13,3.4,200,Fast Food,0,1,0,0,0
553,6,5968,Nigdi,Casual Dining,0,0.0,550,"Chinese, North Indian, Fast Food, Desserts, Beverages",0,0,0,0,0
5286,6,7927,Hinjawadi,Delivery,7,3.2,0,"North Indian, Mughlai, Chinese",0,0,0,0,0
17185,6,7510,Mundhwa,Quick Bites,50,3.7,200,South Indian,0,0,0,1,0
238,6,7305,Pimple Saudagar,Casual Dining,9,3.1,700,Bengali,0,0,0,0,0
19400,6,11995,Koregaon Park,Delivery,16,3.0,0,"North Indian, Biryani, Lebanese",0,0,0,0,0
18859,6,8333,Pimple Saudagar,Casual Dining,4,3.0,650,Biryani,0,0,0,0,0
12647,6,11895,Viman Nagar,Quick Bites,15,2.6,300,Lebanese,0,0,0,0,0
11207,6,9107,Kothrud,Quick Bites,27,3.4,550,"North Indian, Maharashtrian, Malwani",0,0,0,0,0
3966,6,4625,Hadapsar,"Takeaway, Delivery",16,3.1,0,North Indian,0,0,0,0,0
9670,6,260,Kalyani Nagar,"Casual Dining, Bar",59,4.0,1200,"Continental, North Indian, Cafe",0,0,0,0,0
8696,6,6648,Katraj,Casual Dining,0,0.0,650,"North Indian, Chinese, Continental",0,0,0,0,0
4870,6,2818,Magarpatta,Quick Bites,4,3.1,200,"Fast Food, Beverages",0,0,0,0,0
17039,6,6784,Katraj,Casual Dining,0,0.0,600,"North Indian, Mughlai, Chinese",0,0,0,0,0
5896,6,1318,Erandwane,Casual Dining,26,4.2,1000,"Mexican, Beverages",0,0,0,0,0
8412,6,7648,Sinhgad Road,Delivery,0,0.0,0,"Maharashtrian, North Indian",0,0,0,0,1
6051,6,11046,Pimpri Chinchwad Area,"Bakery, Dessert Parlor",0,0.0,400,"Bakery, Ice Cream, Desserts",0,0,0,0,0
18199,6,3001,Pimpri,Quick Bites,100,3.8,150,Rolls,0,0,0,0,0
1516,6,7249,Dange Chowk,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
13529,6,11747,Hadapsar,Casual Dining,30,3.4,800,"Chinese, Thai",0,0,0,0,0
12999,6,5037,Chinchwad,Quick Bites,5,3.1,250,North Indian,0,0,0,0,0
8315,6,6013,Wakad,Quick Bites,0,0.0,200,"Maharashtrian, Street Food",0,0,0,0,0
12003,6,7677,Shaniwar Peth,Beverage Shop,5,3.1,100,Beverages,0,1,0,0,0
7032,6,11990,Camp Area,Food Court,24,2.5,300,"Fast Food, Beverages",0,1,0,0,0
13536,6,11719,Wakad,Delivery,521,3.5,0,Street Food,0,0,0,0,0
6044,6,9863,Hadapsar,Quick Bites,0,0.0,300,"North Indian, Chinese",0,0,0,0,0
12173,6,1292,Pimpri,Casual Dining,76,3.3,500,"North Indian, Chinese, Maharashtrian",0,0,0,0,0
13646,6,1785,MG Road,Quick Bites,13,3.4,200,Fast Food,0,0,0,0,0
