Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
Saraswati Catering Services And Canteen,https://www.zomato.com/pune/saraswati-catering-services-and-canteen-nigdi,Nigdi,0,"Coffee, Maharashtrian",200
Dolphin Bakery,https://www.zomato.com/pune/dolphin-bakery-kondhwa,Kondhwa,0,"Bakery, Mithai",300
Swapnali Caterers,https://www.zomato.com/pune/swapnali-caterers-chandan-nagar,Chandan Nagar,0,North Indian,250
Kulfi Story,https://www.zomato.com/pune/kulfi-story-pimple-saudagar,Pimple Saudagar,3.3,Ice Cream,200
Gauri Pure Veg,https://www.zomato.com/pune/gauri-pure-veg-ravet,Ravet,3.4,"Chinese, North Indian, Maharashtrian, South Indian",300
Sana Hydrabadi Darbar,https://www.zomato.com/pune/sana-hydrabadi-darbar-wakad,Wakad,0,"North Indian, South Indian, Mughlai",350
Tarang Veg And Non Veg Restaurant,https://www.zomato.com/pune/tarang-veg-and-non-veg-restaurant-dange-chowk,Dange Chowk,0,North Indian,250
Frozen Gelato,https://www.zomato.com/pune/frozen-gelato-hadapsar,Hadapsar,0,"Ice Cream, Desserts",250
Hotel Aadesh,https://www.zomato.com/pune/hotel-aadesh-hadapsar,Hadapsar,0,North Indian,300
S Baba,https://www.zomato.com/pune/s-baba-fc-road,FC Road,0,Beverages,100
Jay Tulaja Bahvani Pure Veg,https://www.zomato.com/pune/jay-tulaja-bahvani-pure-veg-pimple-saudagar,Pimple Saudagar,0,North Indian,200
Kritoz,https://www.zomato.com/pune/kritoz-katraj,Katraj,0,"North Indian, Chinese",400
Yash Wadapav,https://www.zomato.com/pune/yash-wadapav-1-karve-nagar,Karve Nagar,0,Street Food,
Fat Jar Cafe,https://www.zomato.com/pune/fat-jar-cafe-baner,Baner,0,"Chinese, Fast Food, Street Food, North Indian, Beverages",
Cafe Basement,https://www.zomato.com/pune/cafe-basement-koregaon-park,Koregaon Park,0,Fast Food,200
Mr P's Kitchen,https://www.zomato.com/pune/mr-ps-kitchen-kalyani-nagar,Kalyani Nagar,0,Fast Food,300
Shri Krushna Pav Bhaji & Cafe,https://www.zomato.com/pune/shri-krushna-pav-bhaji-cafe-budhwar-peth,Budhwar Peth,0,"Fast Food, Street Food, Beverages",250
Pet Pooja Hotel,https://www.zomato.com/pune/pet-pooja-hotel-pimpri,Pimpri,0,"North Indian, Chinese",450
Cafe Eatly,https://www.zomato.com/pune/cafe-eatly-1-warje,Warje,0,"Maharashtrian, South Indian",200
Eatkart Biryani Currys,https://www.zomato.com/pune/eatkart-biryani-currys-hinjawadi,Hinjawadi,0,"North Indian, Biryani, Chinese",500
Nallini's Kitchen,https://www.zomato.com/pune/nallinis-kitchen-hadapsar,Hadapsar,0,"Goan, Maharashtrian",
Gore Amrutalya,https://www.zomato.com/pune/gore-amrutalya-katraj,Katraj,0,"South Indian, Street Food",100
Gupte's Food Delight,https://www.zomato.com/pune/guptes-food-delight-1-karve-nagar,Karve Nagar,3,"North Indian, Fast Food",300
Aditya Konkani Kart,https://www.zomato.com/pune/aditya-konkani-kart-pune-solapur-road,Pune-Solapur Road,3.2,Seafood,500
Biryani Corner,https://www.zomato.com/pune/biryani-corner-1-katraj,Katraj,0,Biryani,200
Atharva Foods,https://www.zomato.com/pune/atharva-foods-wagholi,Wagholi,0,Fast Food,
Biryani Paradise,https://www.zomato.com/pune/biryani-paradise-baner,Baner,0,Biryani,
Swad Kitchens,https://www.zomato.com/pune/swad-kitchens-kothrud,Kothrud,0,"North Indian, Maharashtrian, South Indian",200
The Cone Shopee,https://www.zomato.com/pune/the-cone-shopee-talegaon,Talegaon,0,Street Food,100
Sharada Mastani,https://www.zomato.com/pune/sharada-mastani-talegaon,Talegaon,0,"Ice Cream, Desserts",200
Arnav Cafe,https://www.zomato.com/pune/arnav-cafe-kharadi,Kharadi,0,Fast Food,200
Hotel Shree Ganesh,https://www.zomato.com/pune/hotel-shree-ganesh-narhe,Narhe,0,"Chinese, Maharashtrian",350
Life Kitchen,https://www.zomato.com/pune/life-kitchen-1-pimple-saudagar,Pimple Saudagar,0,Healthy Food,
Kavita Foods,https://www.zomato.com/pune/kavita-foods-wadgaon-sheri,Wadgaon Sheri,0,"Maharashtrian, North Indian",
Food Funda,https://www.zomato.com/pune/food-funda-pimple-gurav,Pimple Gurav,0,"Beverages, Fast Food",250
Rolls Royal,https://www.zomato.com/pune/rolls-royal-sinhgad-road,Sinhgad Road,3.5,"Rolls, Momos, Fast Food",200
Cafe Durga,https://www.zomato.com/pune/cafe-durga-1-bhosari,Bhosari,0,"Fast Food, South Indian",200
Andhra Hyderabad Biryani,https://www.zomato.com/pune/andhra-hyderabad-biryani-yerawada,Yerawada,0,"Biryani, Chinese, Hyderabadi",400
Taste Of Punjabz,https://www.zomato.com/pune/taste-of-punjabz-hadapsar,Hadapsar,3.1,"North Indian, Chinese",500
Food Juction,https://www.zomato.com/pune/food-juction-yerawada,Yerawada,3.1,"Fast Food, North Indian",200
Hotel Rajmudra,https://www.zomato.com/pune/hotel-rajmudra-1-sinhgad-road,Sinhgad Road,0,Maharashtrian,300
Master Chef,https://www.zomato.com/pune/master-chef-wakad,Wakad,0,"North Indian, Maharashtrian, Chinese",
Bread Buns,https://www.zomato.com/pune/bread-buns-dhankawadi,Dhankawadi,0,Fast Food,250
The Khandeshi Katta,https://www.zomato.com/pune/the-khandeshi-katta-sinhgad-road,Sinhgad Road,0,Maharashtrian,200
Hungry Hippie,https://www.zomato.com/pune/hungry-hippie-kothrud,Kothrud,0,"Fast Food, Chinese, North Indian",
The Weastern Food,https://www.zomato.com/pune/the-weastern-food-wagholi,Wagholi,0,"North Indian, Chinese",
The Dragon Story,https://www.zomato.com/pune/the-dragon-story-hinjawadi,Hinjawadi,0,"Chinese, North Indian",
Bro Combo,https://www.zomato.com/pune/bro-combo-katraj,Katraj,0,"Pizza, Fast Food",
The Buns & Rolls Company,https://www.zomato.com/pune/the-buns-rolls-company-viman-nagar,Viman Nagar,0,"Burger, Rolls",
The Shanghai Street,https://www.zomato.com/pune/the-shanghai-street-hinjawadi,Hinjawadi,0,Chinese,
Kartiki Caterers,https://www.zomato.com/pune/kartiki-caterers-pimple-saudagar,Pimpri Chinchwad Area,0,Biryani,
Spicy Express,https://www.zomato.com/pune/spicy-express-hinjawadi,Hinjawadi,0,Chinese,
Shree Ram Food Junction,https://www.zomato.com/pune/shree-ram-food-junction-karve-nagar,Karve Nagar,0,Maharashtrian,300
Shegaon Kachori Center,https://www.zomato.com/pune/shegaon-kachori-center-viman-nagar,Viman Nagar,0,"Street Food, Fast Food",150
Only Nonveg,https://www.zomato.com/pune/only-nonveg-pimple-nilakh,Pimple Nilakh,0,Maharashtrian,
Signature Kolkata - Home Style Bengali Kitchen,https://www.zomato.com/pune/signature-kolkata-home-style-bengali-kitchen-wakad,Wakad,0,"Bengali, Mughlai, Biryani, Rolls",400
Jadhav Wadewale,https://www.zomato.com/pune/jadhav-wadewale-chinchwad,Chinchwad,0,Street Food,150
Chinese Katta,https://www.zomato.com/pune/chinese-katta-sinhgad-road,Sinhgad Road,3.4,Chinese,
Hotel Rubab,https://www.zomato.com/pune/hotel-rubab-viman-nagar,Viman Nagar,0,"North Indian, Chinese, Mughlai",
Classic Fries And Burger,https://www.zomato.com/pune/classic-fries-and-burger-dhole-patil-road,Dhole Patil Road,0,"Burger, Fast Food",200
Hotel Samrudhi,https://www.zomato.com/pune/hotel-samrudhi-kharadi,Kharadi,3.3,North Indian,350
Kamate Foods And Tiffin Services,https://www.zomato.com/pune/kamate-foods-and-tiffin-services-hinjawadi,Hinjawadi,0,Maharashtrian,200
The Noodle Xprs,https://www.zomato.com/pune/the-noodle-xprs-hinjawadi,Hinjawadi,0,Chinese,
Tawakkal Meals,https://www.zomato.com/pune/tawakkal-meals-hadapsar,Hadapsar,0,"Maharashtrian, Biryani",300
