Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
Biryani House,https://www.zomato.com/pune/biryani-house-dhanori,Lohegaon,2.8,"Biryani, Chinese",300
Hotel Vaishnavi,https://www.zomato.com/pune/hotel-vaishnavi-bhosari,Bhosari,2.8,"North Indian, Chinese",500
Gayatri Bhel,https://www.zomato.com/pune/gayatri-bhel-viman-nagar,Viman Nagar,3.3,"Street Food, Fast Food, South Indian",300
Hotel Suryoday,https://www.zomato.com/pune/hotel-suryoday-bhosari,Bhosari,0,"North Indian, Chinese",1000
Hotel Anand Punjab,https://www.zomato.com/pune/hotel-anand-punjab-fatima-nagar,Fatima Nagar,3.2,"Chinese, North Indian",400
Aangan,https://www.zomato.com/pune/aangan-akurdi,Akurdi,2.5,"Chinese, North Indian, Mughlai",650
Guru Krupa,https://www.zomato.com/pune/guru-krupa-kondhwa,Kondhwa,3,"North Indian, South Indian",400
Atrium - Royal Orchid Golden Suites,https://www.zomato.com/pune/atrium-royal-orchid-golden-suites-kalyani-nagar,Kalyani Nagar,3.3,"Continental, Chinese, Thai, North Indian",1400
Picante Pure Veg,https://www.zomato.com/pune/picante-pure-veg-sinhgad-road,Sinhgad Road,3.7,"North Indian, South Indian, Chinese, Fast Food",350
Hotel Sai Shri,https://www.zomato.com/pune/hotel-sai-shri-bavdhan,Bavdhan,3.3,"North Indian, Chinese, Biryani",400
My Goodness,https://www.zomato.com/pune/my-goodness-wanowrie,Wanowrie,3,"Cafe, Fast Food, Desserts",500
Asha  Restaurant,https://www.zomato.com/pune/asha-restaurant-satara-road,Satara Road,3,"North Indian, Chinese",900
Chocolate Story,https://www.zomato.com/pune/chocolate-story-kalyani-nagar,Kalyani Nagar,3.6,Desserts,300
Hotel Rupa,https://www.zomato.com/pune/hotel-rupa-mahalunge,Mahalunge,0,North Indian,450
Suswad Biryani House,https://www.zomato.com/pune/suswad-biryani-house-sinhgad-road,Sinhgad Road,3.6,Maharashtrian,500
Coastal Hut,https://www.zomato.com/pune/coastal-hut-viman-nagar,Viman Nagar,3.4,Seafood,400
Aapal Shiwar,https://www.zomato.com/pune/aapal-shiwar-dhankawadi,Dhankawadi,3.3,Maharashtrian,500
Cafe Tornado,https://www.zomato.com/pune/cafe-tornado-kharadi,Kharadi,3.3,Chinese,300
Bakers Delight,https://www.zomato.com/pune/bakers-delight-pimpri,Pimpri,3.2,Bakery,300
Hotel Durga,https://www.zomato.com/pune/hotel-durga-shivapur,Shivapur,0,"Maharashtrian, North Indian",600
Ocean's Paradise Veg/Non-Veg,https://www.zomato.com/pune/oceans-paradise-veg-non-veg-sinhgad-road,Sinhgad Road,3.2,"Maharashtrian, North Indian",450
Shree Sai,https://www.zomato.com/pune/shree-sai-magarpatta,Magarpatta,0,Chinese,300
Raj Darbar,https://www.zomato.com/pune/raj-darbar-sinhgad-road,Sinhgad Road,2.9,"North Indian, Chinese",600
Cafe Creamy Nuts,https://www.zomato.com/pune/cafe-creamy-nuts-narhe,Narhe,3.2,"Fast Food, Ice Cream, Beverages",200
Jay Ganesh Fastfood,https://www.zomato.com/pune/jay-ganesh-fastfood-kharadi,Kharadi,2.9,"North Indian, Fast Food",200
Samy's Hangout,https://www.zomato.com/pune/samys-hangout-nigdi,Nigdi,3.6,Fast Food,250
Eatology,https://www.zomato.com/pune/eatology-lavasa,Lavasa,0,North Indian,300
Sagars Kebab & Biryani Food Truck,https://www.zomato.com/sagars-kebab-biryani-food-truc,Kothrud Area,3.4,"North Indian, Chinese",450
Apna Kitchen Tiffin Service,https://www.zomato.com/pune/apna-kitchen-tiffin-service-wagholi,Wagholi,0,North Indian,
6 Muffiins The Cake Shop,https://www.zomato.com/pune/6-muffiins-the-cake-shop-1-chinchwad,Chinchwad,3,Bakery,400
Shazy's Kitchen,https://www.zomato.com/pune/shazys-kitchen-wadgaon-sheri,Wadgaon Sheri,0,"Street Food, Maharashtrian, Fast Food, North Indian, Bakery",300
Kabab Corner,https://www.zomato.com/pune/kabab-corner-hadapsar,"Magarpatta, Pune Sholapur Rd",0,"Rolls, North Indian, Street Food",
Gazi Veg Non Veg,https://www.zomato.com/pune/gazi-veg-non-veg-fatima-nagar,Fatima Nagar,0,North Indian,300
South Mouth,https://www.zomato.com/pune/south-mouth-ravet,Ravet,0,"North Indian, South Indian, Fast Food, Chinese",400
Reddy's Family Restaurant,https://www.zomato.com/pune/reddys-family-restaurant-sinhgad-road,Sinhgad Road,0,South Indian,400
Urrus Aassal Gavran Mejwani,https://www.zomato.com/pune/urrus-aassal-gavran-mejwani-ravet,Ravet,0,"Maharashtrian, North Indian",300
China World,https://www.zomato.com/pune/china-world-kothrud,Kothrud,0,Chinese,
Foodiemans Cafe,https://www.zomato.com/pune/foodiemans-cafe-kothrud,Kothrud,0,"Fast Food, Momos",
Burger Up!,https://www.zomato.com/pune/burger-up-aundh,Aundh,0,"Burger, Fast Food",
Foodiemans Cafe,https://www.zomato.com/pune/foodiemans-cafe-kothrud,Kothrud,0,"Fast Food, Momos",
Burger Up!,https://www.zomato.com/pune/burger-up-aundh,Aundh,0,"Burger, Fast Food",
Cafe Delisumm,https://www.zomato.com/pune/cafe-delisumm-1-magarpatta,Magarpatta,3.8,Cafe,300
New Refreshment House,https://www.zomato.com/pune/new-refreshment-house-tilak-road,Tilak Road,3.8,"Maharashtrian, South Indian",200
Aditya Juice Bar,https://www.zomato.com/pune/aditya-juice-bar-kothrud,Kothrud,3.5,"Beverages, Fast Food",200
The Arthur's Tandoor's,https://www.zomato.com/pune/the-arthurs-tandoors-hadapsar,"Magarpatta, Pune Sholapur Rd",0,North Indian,
Damini Family Restaurant,https://www.zomato.com/pune/damini-family-restaurant-warje,Warje,3.2,"Chinese, North Indian, Seafood, Mughlai",800
The Pasta House,https://www.zomato.com/pune/the-pasta-house-bibvewadi,Bibvewadi,3.9,Italian,
Raj Family Restaurant,https://www.zomato.com/pune/raj-family-restaurant-lonavala,Lonavala,3.2,"North Indian, Chinese",500
Shubham Coffee House,https://www.zomato.com/pune/shubham-coffee-house-fc-road,FC Road,2.7,"Cafe, Fast Food",300
Health On Wheels,https://www.zomato.com/pune/health-on-wheels-wagholi,Wagholi,3.4,"Healthy Food, North Indian",
Shree Mauli Special,https://www.zomato.com/pune/shree-mauli-special-vishrantwadi,Vishrantwadi,2.9,"South Indian, Fast Food",200
PDS Thali,https://www.zomato.com/pune/pds-thali-pimple-nilakh,Pimple Nilakh,3.1,North Indian,200
Kolkata Rolls,https://www.zomato.com/pune/kolkata-rolls-kharadi,Kharadi,3,Rolls,350
Hotel Jay Malhar,https://www.zomato.com/pune/hotel-jay-malhar-bhosari,Bhosari,3,"North Indian, Chinese, Maharashtrian",500
Anna Wadapav,https://www.zomato.com/pune/anna-wadapav-dhanori,Dhanori,3,"South Indian, Street Food",100
Kebab Thikana,https://www.zomato.com/pune/kebab-thikana-ravet,Ravet,3.1,"Biryani, North Indian",400
Le Coffee House,https://www.zomato.com/pune/le-coffee-house-parvati,Parvati,3.8,Cafe,400
Maharaja Family Restaurant,https://www.zomato.com/pune/maharaja-family-restaurant-dange-chowk,Dange Chowk,2.7,"North Indian, Chinese",500
The Quick Wok,https://www.zomato.com/pune/the-quick-wok-pimple-nilakh,Pimple Nilakh,3.5,"Fast Food, Chinese, Asian, Thai",
Kekiz The Cake Shop,https://www.zomato.com/pune/kekiz-the-cake-shop-bhosari,Bhosari,0,"Bakery, Desserts",300
Hayat,https://www.zomato.com/pune/hayat-bhosari,Bhosari,3.4,"Chinese, Kebab",300
Un Poco Loco,https://www.zomato.com/pune/un-poco-loco-pimple-saudagar,Pimple Saudagar,3.7,"Continental, Lebanese, North Indian",450
Nims Cake & Craft,https://www.zomato.com/pune/nims-cake-craft-jm-road,JM Road,3.6,"Fast Food, Desserts",450
Noods,https://www.zomato.com/pune/noods-shivaji-nagar,Deccan & Peths,0,Chinese,
Platter 2 Plate,https://www.zomato.com/pune/platter-2-plate-hinjawadi,Hinjawadi,3.1,"Rolls, Kebab, Biryani",200
The Egg Junction,https://www.zomato.com/pune/the-egg-junction-1-balewadi,Balewadi,3.4,"Street Food, Fast Food",150
Madhav Veg Non-veg,https://www.zomato.com/pune/madhav-veg-non-veg-camp-area,Camp Area,3.8,"North Indian, Chinese, Malwani",600
Jai Ganesh Dosa Centre,https://www.zomato.com/pune/jai-ganesh-dosa-centre-senapati-bapat-road,Senapati Bapat Road,3.9,South Indian,150
Jai Ganesh Dosa Centre,https://www.zomato.com/pune/jai-ganesh-dosa-centre-senapati-bapat-road,Senapati Bapat Road,3.9,South Indian,150
Big Brother's Biryani,https://www.zomato.com/pune/big-brothers-biryani-nibm-road,Wanowrie Kondhwa Area,0,Biryani,
Euphoria Grill,https://www.zomato.com/pune/euphoria-grill-pimple-saudagar,Pimple Saudagar,3.6,"Biryani, Kebab, Maharashtrian, North Indian",
Siddhi,https://www.zomato.com/pune/siddhi-dhankawadi,Dhankawadi,3.3,"North Indian, Chinese, Street Food",400
Hotel Milan,https://www.zomato.com/pune/hotel-milan-bibvewadi,Bibvewadi,3,"North Indian, Maharashtrian",600
BowlSome,https://www.zomato.com/pune/bowlsome-kothrud,Kothrud,0,"Asian, Thai, Chinese, North Indian, Desserts",
Somu's Chai Cafe,https://www.zomato.com/pune/somus-chai-cafe-kharadi,Kharadi,3.2,"North Indian, Chinese, Kebab",500
Cafe Tea Talkss,https://www.zomato.com/pune/cafe-tea-talkss-bavdhan,Bavdhan,3.8,"Fast Food, Tea",200
Koffee Villa,https://www.zomato.com/pune/koffee-villa-bibvewadi,Bibvewadi,3.8,"Cafe, Italian, Fast Food, Chinese",600
"Shawarma, Meals & More",https://www.zomato.com/pune/shawarma-meals-more-baner,Baner,2.9,Fast Food,
Aufside @ Hotfut,https://www.zomato.com/aufside,Swargate,4,"American, North Indian, Finger Food",1300
JuiceO'biz,https://www.zomato.com/pune/juiceobiz-wadgaon-sheri,Wadgaon Sheri,3.6,"Beverages, Fast Food",400
Good Food Katta And Bharati Maggi Corner,https://www.zomato.com/pune/good-food-katta-and-bharati-maggi-corner-katraj,Katraj,0,Fast Food,300
2 Pegs Down - Picaddle Resort,https://www.zomato.com/pune/2-pegs-down-picaddle-resort-lonavala,Lonavala,3.6,"North Indian, Continental, Asian",1500
Hotel Rajgad,https://www.zomato.com/pune/hotel-rajgad-hadapsar,Hadapsar,0,"North Indian, Chinese",800
Tasty Treats 24/7,https://www.zomato.com/pune/tasty-treats-24-7-3-senapati-bapat-road,Senapati Bapat Road,2.6,"Fast Food, Biryani",
Manpasand Dal Pakwan,https://www.zomato.com/pune/manpasand-dal-pakwan-sadashiv-peth,Sadashiv Peth,3.2,North Indian,
Zillionth Bistro,https://www.zomato.com/pune/zillionth-bistro-kothrud,Kothrud,0,Chinese,500
Krishna- The Veg Edge,https://www.zomato.com/pune/krishna-the-veg-edge-nibm-road,NIBM Road,3.3,"North Indian, Chinese, Street Food",500
Maratha Biryaniz,https://www.zomato.com/pune/maratha-biryaniz-sinhgad-road,Sinhgad Road,3.3,Biryani,
Grilled,https://www.zomato.com/pune/grilled-nibm-road,NIBM Road,3.4,"Mughlai, Fast Food, Chinese",
Emirates Cafe,https://www.zomato.com/pune/emirates-cafe-katraj,Katraj,3.5,"Burger, Continental, Biryani, North Indian, Beverages",250
Roji Roti Mess,https://www.zomato.com/pune/roji-roti-mess-hadapsar,Hadapsar,3,"North Indian, South Indian, Bihari, Odia",400
Cafe 07,https://www.zomato.com/pune/cafe-07-hadapsar,Hadapsar,3.1,"Cafe, Pizza, Burger",400
Oh My Rolls,https://www.zomato.com/pune/oh-my-rolls-hinjawadi,Hinjawadi,3.5,Rolls,300
Reddy & Reddy Hyderabad Biryani,https://www.zomato.com/pune/reddy-reddy-hyderabad-biryani-katraj,Katraj,2.9,"Biryani, Hyderabadi",400
Smoking Burger and Fires,https://www.zomato.com/pune/smoking-burger-and-fires-kothrud,Kothrud,0,"Burger, Sandwich, Fast Food",
Zakkas,https://www.zomato.com/pune/zakkas-2-hinjawadi,Hinjawadi,0,"Street Food, North Indian",200
Aaswad Dhaba & Family Restaurant,https://www.zomato.com/pune/aaswad-dhaba-family-restaurant-old-mumbai-pune-highway,Old Mumbai-Pune Highway,3,"North Indian, Chinese, BBQ, Biryani, Charcoal Chicken, Coffee, Maharashtrian, Malwani",500
Aaswad Dhaba & Family Restaurant,https://www.zomato.com/pune/aaswad-dhaba-family-restaurant-old-mumbai-pune-highway,Old Mumbai-Pune Highway,3,"North Indian, Chinese, BBQ, Biryani, Charcoal Chicken, Coffee, Maharashtrian, Malwani",500
Egg Kulture,https://www.zomato.com/pune/egg-kulture-shivaji-nagar,Shivaji Nagar,0,"Healthy Food, North Indian",200
Jagtap Sarkar Family Restaurant,https://www.zomato.com/pune/jagtap-sarkar-family-restaurant-pimpri,Pimpri,3.4,"Pizza, North Indian",500
21 Shots,https://www.zomato.com/pune/21-shots-kharadi,Kharadi,3.3,"Finger Food, North Indian, Chinese",1550
Malabari Spice,https://www.zomato.com/pune/malabari-spice-mundhwa,Mundhwa,3.2,"Kerala, South Indian",800
Hotel Rajashri Veg Non-Veg And Family Restaurant,https://www.zomato.com/pune/hotel-rajashri-veg-non-veg-and-family-restaurant-bhosari,Bhosari,3.2,"North Indian, Fast Food",400
Laddro Cafe,https://www.zomato.com/pune/laddro-cafe-shivaji-nagar,Shivaji Nagar,3.2,"Cafe, Fast Food",400
Toscano,https://www.zomato.com/pune/toscano-koregaon-park,Koregaon Park,0,"Italian, Continental, European",1500
Olde Bailey's,https://www.zomato.com/pune/olde-baileys-koregaon-park,Koregaon Park,3.8,Continental,900
China Gate,https://www.zomato.com/pune/china-gate-jm-road,JM Road,3.6,"Chinese, Seafood",850
Cafe Boulevard,https://www.zomato.com/pune/cafe-boulevard-dhole-patil-road,Dhole Patil Road,3.3,"North Indian, Italian, Continental",900
Log House,https://www.zomato.com/pune/log-house-1-baner,Baner,3.4,"North Indian, Chinese, Street Food, Fast Food, Seafood, South Indian, Beverages",700
Hotel Satkar,https://www.zomato.com/pune/hotel-satkar-shivaji-nagar,Shivaji Nagar,3.4,"Chinese, North Indian, South Indian",500
World's Best Breakfast,https://www.zomato.com/pune/worlds-best-breakfast-viman-nagar,Viman Nagar,0,Mexican,
Hotel Atithi Deo Bhav,https://www.zomato.com/pune/hotel-atithi-deo-bhav-kothrud,Kothrud,0,North Indian,250
Surabhi,https://www.zomato.com/pune/surabhi-chinchwad,Chinchwad,0,"North Indian, Mughlai, Malwani, Chinese, Biryani",700
Sanjog Pure Veg,https://www.zomato.com/pune/sanjog-pure-veg-bibvewadi,Bibvewadi,2.7,"North Indian, Maharashtrian",350
Cafe New Diamond,https://www.zomato.com/pune/cafe-new-diamond-hadapsar,Hadapsar,2.7,"North Indian, Chinese",500
Hotel Girija,https://www.zomato.com/pune/hotel-girija-narhe,Narhe,2.7,"North Indian, South Indian, Chinese, Mughlai",550
Hotel Rupali,https://www.zomato.com/pune/hotel-rupali-bhosari,Bhosari,0,"Goan, Maharashtrian, North Indian, Chinese",500
Hotel Shivratna,https://www.zomato.com/pune/hotel-shivratna-mundhwa,Mundhwa,3.1,"North Indian, Chinese",750
Narmada Family Restaurant & Bar,https://www.zomato.com/pune/narmada-family-restaurant-bar-bhosari,Bhosari,2.9,"North Indian, Chinese",1000
Hotel Siddhesh,https://www.zomato.com/pune/hotel-siddhesh-satara-road,Satara Road,3,North Indian,350
Royal Punjab,https://www.zomato.com/pune/royal-punjab-katraj,Katraj,3.2,"North Indian, Chinese, Seafood",750
Cafe Apollo,https://www.zomato.com/pune/cafe-apollo-rasta-peth,Rasta Peth,3.7,"North Indian, Chinese, Fast Food",350
Baker's Treat,https://www.zomato.com/pune/bakers-treat-salunkhe-vihar-road,Salunkhe Vihar Road,0,"Desserts, Bakery",200
Ice Cream Delight,https://www.zomato.com/pune/ice-cream-delight-satara-road,Satara Road,3.1,"Desserts, Fast Food",150
Hotel Malwan Samudra,https://www.zomato.com/pune/hotel-malwan-samudra-1-chinchwad,Chinchwad,3.5,"Malwani, North Indian",600
Hotel Samruddhi,https://www.zomato.com/pune/hotel-samruddhi-katraj,Katraj,0,"North Indian, Mughlai, Chinese",600
Hotel Laxmi Family Restaurant,https://www.zomato.com/pune/hotel-laxmi-family-restaurant-karve-nagar,Karve Nagar,0,"North Indian, Chinese",400
Samruddhi,https://www.zomato.com/pune/samruddhi-sinhgad-road,Sinhgad Road,3.5,"North Indian, Chinese, Fast Food",700
Suruchi Restaurant,https://www.zomato.com/pune/suruchi-restaurant-hadapsar,Hadapsar,3.1,"North Indian, Chinese, Seafood",700
Pranav Chinese Fast Food,https://www.zomato.com/pune/pranav-chinese-fast-food-bt-kawade-road,B.T. Kawade Road,3,Chinese,350
Puneri Garden & Restaurant,https://www.zomato.com/pune/puneri-garden-restaurant-kothrud,Kothrud,0,North Indian,400
Kancha Chinese Fast Food,https://www.zomato.com/pune/kancha-chinese-fast-food-chinchwad,Chinchwad,3.2,Chinese,300
Sarovar,https://www.zomato.com/pune/sarovar-akurdi,Akurdi,2.8,"North Indian, South Indian, Chinese",300
Hong-Kong Noodle Company,https://www.zomato.com/pune/hong-kong-noodle-company-kharadi,Kharadi,0,Chinese,
A Stteaming Mug,https://www.zomato.com/pune/a-stteaming-mug-wakad,Wakad,0,"Pizza, Sandwich, Fast Food, Beverages",200
The Walnut Sweets,https://www.zomato.com/pune/the-walnut-sweets-aundh,Aundh,3.1,"Mithai, Street Food",100
Sach Hospitality LLP,https://www.zomato.com/pune/sach-hospitality-llp-mundhwa,KP and Kalyani,0,"North Indian, South Indian, Chinese, Fast Food",
Prakash Snacks Center,https://www.zomato.com/pune/prakash-snacks-center-deccan-gymkhana,Deccan Gymkhana,0,Street Food,200
Way Down South,https://www.zomato.com/pune/way-down-south-senapati-bapat-road,Senapati Bapat Road,3.1,South Indian,200
Pyaasa Point,https://www.zomato.com/pune/pyaasa-point-camp-area,Camp Area,0,Fast Food,
Natural Hotel,https://www.zomato.com/pune/natural-hotel-karve-nagar,Karve Nagar,3.1,"Chinese, Maharashtrian",250
Tarri Misal House,https://www.zomato.com/pune/tarri-misal-house-1-warje,Warje,0,Maharashtrian,200
Al - Afghan,https://www.zomato.com/pune/al-afghan-1-nigdi,Nigdi,3.3,Mughlai,500
Hotel Mavla,https://www.zomato.com/pune/hotel-mavla-shivaji-nagar,Shivaji Nagar,0,Maharashtrian,400
Crave Capital,https://www.zomato.com/pune/crave-capital-wadgaon-sheri,Wadgaon Sheri,3.6,"Fast Food, North Indian",
RK Vegetarians,https://www.zomato.com/pune/rk-vegetarians-shivane,Shivane,0,"North Indian, South Indian, Street Food",
Singhgad Fruits,https://www.zomato.com/pune/singhgad-fruits-bibvewadi,Bibvewadi,0,"Juices, Healthy Food, Beverages",150
Patil Biryani House,https://www.zomato.com/pune/patil-biryani-house-dhankawadi,Dhankawadi,0,Biryani,
Blu Nyl,https://www.zomato.com/pune/blu-nyl-rasta-peth,Rasta Peth,0,Chinese,200
Sweet Chocolate Toast,https://www.zomato.com/pune/sweet-chocolate-toast-dhankawadi,Dhankawadi,0,Bakery,
Shree Jodhpur Sweets,https://www.zomato.com/pune/shree-jodhpur-sweets-dhole-patil-road,Dhole Patil Road,0,Mithai,300
Cake & Celebration,https://www.zomato.com/pune/cake-celebration-talegaon,Talegaon,0,Bakery,200
Open Spicy,https://www.zomato.com/pune/open-spicy-wadgaon-sheri,Wadgaon Sheri,3.3,"Chinese, Fast Food",
Shaukeen Biryani & Rolls,https://www.zomato.com/pune/shaukeen-biryani-rolls-chinchwad,Chinchwad,0,"Rolls, Biryani",300
Aj's Kebab & Roll,https://www.zomato.com/pune/ajs-kebab-roll-kharadi,Kharadi,3.3,"Wraps, North Indian, Biryani",300
Fish Heaven,https://www.zomato.com/pune/fish-heaven-chandan-nagar,Chandan Nagar,0,Maharashtrian,500
Jassi Da Khana Khazana,https://www.zomato.com/pune/jassi-da-khana-khazana-narhe,Narhe,0,"Biryani, Chinese, North Indian",500
Misal Katta & Miatri Chaha,https://www.zomato.com/pune/misal-katta-miatri-chaha-pimple-gurav,Pimple Gurav,0,Street Food,200
Shivam Snacks Center,https://www.zomato.com/pune/shivam-snacks-center-karve-nagar,Karve Nagar,0,Street Food,100
Hotel Yashkaran,https://www.zomato.com/pune/hotel-yashkaran-hinjawadi,Hinjawadi,0,North Indian,500
Deepak Restaurant,https://www.zomato.com/pune/deepak-restaurant-wanowrie,Wanowrie,0,North Indian,300
Hotel Wishwajeet Pure Veg,https://www.zomato.com/pune/hotel-wishwajeet-pure-veg-sinhgad-road,Sinhgad Road,0,"North Indian, Maharashtrian",300
Tapri Shapri,https://www.zomato.com/pune/tapri-shapri-hinjawadi,Hinjawadi,0,"Fast Food, Chinese",300
Hotel Ratna,https://www.zomato.com/pune/hotel-ratna-sadashiv-peth,Sadashiv Peth,0,Maharashtrian,150
AJ's Burger Express,https://www.zomato.com/pune/ajs-burger-express-mundhwa,Mundhwa,0,"Burger, Fast Food",
Sufia Biryani House,https://www.zomato.com/pune/sufia-biryani-house-kothrud,Kothrud,0,"Biryani, North Indian",200
Hotel Pangat,https://www.zomato.com/pune/hotel-pangat-sinhgad-road,Sinhgad Road,0,"North Indian, Maharashtrian, Mughlai, Chinese",500
Royal Hunger,https://www.zomato.com/pune/royal-hunger-hadapsar,Hadapsar,0,"Fast Food, Beverages",300
Paluskar Chicken 65 Centre,https://www.zomato.com/pune/paluskar-chicken-65-centre-katraj,Katraj,3.7,"Chinese, Fast Food",300
KGN Caterers,https://www.zomato.com/pune/kgn-caterers-1-dhanori,Dhanori,0,"Biryani, North Indian",
Hotel Mauli Veg and Non-Veg,https://www.zomato.com/pune/hotel-mauli-veg-and-non-veg-katraj,Katraj,0,North Indian,350
Saraswati New Chinese,https://www.zomato.com/pune/saraswati-new-chinese-wagholi,Wagholi,0,Chinese,150
Krishna Pure Veg,https://www.zomato.com/pune/krishna-pure-veg-hadapsar,Hadapsar,0,"North Indian, South Indian, Chinese, Ice Cream",500
Lucky Banana,https://www.zomato.com/pune/lucky-banana-karve-nagar,Karve Nagar,0,"Biryani, Street Food",100
Let's Eat,https://www.zomato.com/pune/lets-eat-kothrud,Kothrud,0,Chinese,
Chinese,https://www.zomato.com/pune/chinese-parvati,Parvati,0,Chinese,
Crimps,https://www.zomato.com/pune/crimps-pimple-nilakh,Pimple Nilakh,3.2,"Pizza, Fast Food, Desserts",500
Wanderlust Bistro,https://www.zomato.com/pune/wanderlust-bistro-talegaon,Talegaon,3.1,"Fast Food, Beverages",300
Sheetal Restaurant,https://www.zomato.com/pune/sheetal-restaurant-wakad,Wakad,0,"North Indian, Chinese, Seafood",
Italy Via Punjab,https://www.zomato.com/pune/italy-via-punjab-parvati,Parvati,0,"Italian, North Indian, Mughlai",
Murlidhar Tea House & Pure Veg,https://www.zomato.com/pune/murlidhar-tea-house-pure-veg-sadashiv-peth,Sadashiv Peth,0,"Chinese, Fast Food, South Indian, North Indian, Street Food",350
Gobbles Foods,https://www.zomato.com/pune/gobbles-foods-wadgaon-sheri,Wadgaon Sheri,0,"North Indian, Chinese, Fast Food",
The Breakfast Story,https://www.zomato.com/pune/the-breakfast-story-karve-nagar,Karve Nagar,3,Fast Food,300
Narmada Dining Hall,https://www.zomato.com/pune/narmada-dining-hall-sadashiv-peth,Sadashiv Peth,0,"Maharashtrian, North Indian",300
Rolf- Roar of Fearless Lion,https://www.zomato.com/pune/rolf-roar-of-fearless-lion-camp-area,Camp Area,0,"Tea, Fast Food",300
Shasya,https://www.zomato.com/pune/shasya-yerawada,Yerawada,0,"Healthy Food, Juices",
Hungrezy,https://www.zomato.com/pune/hungrezy-kothrud,Kothrud,0,Fast Food,400
The Butter Garage Company,https://www.zomato.com/pune/the-butter-garage-company-viman-nagar,Viman Nagar,0,"Street Food, Fast Food",300
Mini Dabba,https://www.zomato.com/pune/mini-dabba-parvati,Parvati,0,North Indian,
Swad Marathi,https://www.zomato.com/pune/swad-marathi-chandan-nagar,Chandan Nagar,3.2,"Maharashtrian, North Indian",600
Dwar Cafe,https://www.zomato.com/pune/dwar-cafe-erandwane,Erandwane,0,"Fast Food, North Indian",200
Kailash Dairy & Snacks Center,https://www.zomato.com/pune/kailash-dairy-snacks-center-dhanori,Dhanori,0,"Fast Food, Ice Cream, Tea",300
Hungry Hobbit Food Hub,https://www.zomato.com/pune/hungry-hobbit-food-hub-dange-chowk,Dange Chowk,0,"Fast Food, Chinese, Maharashtrian",250
Sonchafa-Home Made Food For You,https://www.zomato.com/pune/sonchafa-home-made-food-for-you-wakad,Wakad,0,Maharashtrian,
Truly Homely,https://www.zomato.com/pune/truly-homely-mundhwa,Mundhwa,0,North Indian,
A.S. Chinese,https://www.zomato.com/pune/a-s-chinese-yerawada,Yerawada,0,"Chinese, Biryani, North Indian",200
RKD's Meaty Treat,https://www.zomato.com/pune/rkds-meaty-treat-nibm-road,NIBM Road,0,Fast Food,300
South Corner,https://www.zomato.com/pune/south-corner-hadapsar,Hadapsar,0,"South Indian, Chinese",250
Hotel Blue Lotus,https://www.zomato.com/pune/hotel-blue-lotus-narhe,Narhe,0,"North Indian, Chinese, Street Food",400
Punjabi Dhaba,https://www.zomato.com/pune/punjabi-dhaba-mundhwa,Mundhwa,0,North Indian,
Akshay Meal,https://www.zomato.com/pune/akshay-meal-karve-nagar,Karve Nagar,3.1,"North Indian, Chinese, Mughlai",350
Malhar Restaurants,https://www.zomato.com/pune/malhar-restaurants-bhosari,Bhosari,0,"North Indian, Chinese",400
Corner Wada Pav Centre,https://www.zomato.com/pune/corner-wada-pav-centre-wadgaon-sheri,Wadgaon Sheri,0,Street Food,100
Famous Of Patna Litti Chokha,https://www.zomato.com/pune/famous-of-patna-litti-chokha-wakad,Wakad,0,Bihari,200
Bangalore Iyangar Bakery,https://www.zomato.com/pune/bangalore-iyangar-bakery-shivaji-nagar,Shivaji Nagar,0,Bakery,
Swaraj Food House,https://www.zomato.com/pune/swaraj-food-house-hadapsar,Hadapsar,3.1,"Maharashtrian, Street Food",
Yashada Faimly Restaurant,https://www.zomato.com/pune/yashada-faimly-restaurant-dhanori,Dhanori,0,"North Indian, Chinese, BBQ",500
Om Sai Datta Snacks Center,https://www.zomato.com/pune/om-sai-datta-snacks-center-wadgaon-sheri,Wadgaon Sheri,0,Street Food,200
Aware Food Corner,https://www.zomato.com/pune/aware-food-corner-sadashiv-peth,Sadashiv Peth,0,"North Indian, Beverages",150
Cafe Divine,https://www.zomato.com/pune/cafe-divine-kondhwa,Kondhwa,0,"Fast Food, Beverages",250
Subcurry,https://www.zomato.com/pune/subcurry-baner,Baner,0,"North Indian, Chinese, Mughlai",600
7 Heaven Snacks Center,https://www.zomato.com/pune/7-heaven-snacks-center-bhosari,Bhosari,0,Street Food,100
Siddhivinayak Special Indori Poha Centre,https://www.zomato.com/pune/siddhivinayak-special-indori-poha-centre-wakad,Wakad,0,"North Indian, Street Food",
Cafe 9,https://www.zomato.com/pune/cafe-9-fatima-nagar,Fatima Nagar,0,"Cafe, Fast Food",400
Fresh Fit,https://www.zomato.com/pune/fresh-fit-1-viman-nagar,Viman Nagar,2.9,Healthy Food,
Sindhuratna,https://www.zomato.com/pune/sindhuratna-sinhgad-road,Sinhgad Road,0,"North Indian, Chinese",200
Hotel Red & Green,https://www.zomato.com/pune/hotel-red-green-pimpri,Pimpri,0,"North Indian, Chinese",500
Sarvesh Snacks Center,https://www.zomato.com/pune/sarvesh-snacks-center-wagholi,Wagholi,0,Fast Food,
Royal Bistro,https://www.zomato.com/pune/royal-bistro-pimple-gurav,Pimple Gurav,0,Fast Food,150
