,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
7023,Chandan Nagar,Quick Bites,0,0.0,300,"North Indian, South Indian",0,0,0,0,0
7024,Pimpri Chinchwad Area,Delivery,0,0.0,0,"Fast Food, North Indian",0,0,0,0,0
7025,Pimpri Chinchwad Area,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
7026,Shivaji Nagar,Delivery,0,0.0,0,Biryani,0,0,0,0,0
7027,Hinjawadi,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese",0,0,0,0,0
7028,Pimple Nilakh,Delivery,0,0.0,0,"North Indian, Mughlai",0,0,0,0,0
7029,Bhosari,Quick Bites,0,0.0,200,"Fast Food, Juices, South Indian",0,0,0,0,0
7030,Hadapsar,Quick Bites,0,0.0,100,"Fast Food, Beverages",0,0,0,0,0
7031,Khadki,Beverage Shop,0,0.0,100,Beverages,0,0,0,0,0
7032,Wagholi,Delivery,0,0.0,0,"Pizza, Italian, Desserts, Beverages",0,0,0,0,0
7033,Camp Area,Quick Bites,0,0.0,250,"Fast Food, Chinese, North Indian, Beverages",0,0,0,0,0
7034,Bhosari,Quick Bites,0,0.0,250,"North Indian, Maharashtrian, Chinese",0,1,0,0,0
7035,Bhosari,Quick Bites,0,0.0,200,Fast Food,0,0,0,0,0
7036,Lohegaon,Quick Bites,0,0.0,200,Street Food,0,0,0,0,0
7037,Aundh,"Takeaway, Delivery",0,0.0,0,"North Indian, Fast Food, Street Food",0,0,0,0,0
7038,Viman Nagar,Delivery,0,0.0,0,Chinese,0,0,0,0,0
7039,Ravet,Casual Dining,0,0.0,900,"North Indian, South Indian",0,0,0,0,0
7040,Hadapsar,Quick Bites,0,0.0,200,"South Indian, Street Food",0,0,0,0,0
7041,Wagholi,"Takeaway, Delivery",0,0.0,0,"North Indian, Biryani",0,0,0,0,0
7042,Koregaon Park,Quick Bites,0,0.0,500,Fast Food,0,0,0,0,0
7043,Hadapsar,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
7044,Karve Nagar,Quick Bites,0,0.0,150,Biryani,0,0,0,0,0
7045,Hadapsar,Bakery,0,0.0,150,Bakery,0,0,0,0,0
7046,Sinhgad Road,Quick Bites,0,0.0,200,Rolls,0,0,0,0,0
7047,Hadapsar,Delivery,0,0.0,0,Kebab,0,0,0,0,0
7048,Warje,Quick Bites,0,0.0,250,Chinese,0,0,0,0,0
7049,Hadapsar,"Takeaway, Delivery",0,0.0,0,Healthy Food,0,0,0,0,0
7050,Kothrud Area,Delivery,0,0.0,0,"Fast Food, Beverages",0,0,0,0,0
7051,Baner,"Casual Dining, Bar",0,0.0,800,"North Indian, Chinese, Bar Food, Finger Food",0,0,0,0,0
7052,Bavdhan,Quick Bites,0,0.0,350,"Chinese, Rolls",0,0,0,0,0
7053,Viman Nagar,Sweet Shop,0,0.0,350,"Mithai, Desserts",0,1,0,0,0
7054,Wakad,Quick Bites,0,0.0,100,Street Food,0,0,0,0,0
7055,Wadgaon Sheri,Quick Bites,0,0.0,150,Maharashtrian,0,0,0,0,0
7056,Kothrud,Kiosk,0,0.0,450,"Chinese, North Indian",0,0,0,0,0
7057,Khadki,Bakery,0,0.0,250,Bakery,0,0,0,0,0
7058,FC Road,Delivery,0,0.0,0,"Biryani, Chinese",0,0,0,0,0
7059,Wakad,Quick Bites,0,0.0,250,Biryani,0,0,0,0,0
7060,Bavdhan,Bakery,0,0.0,300,Bakery,0,0,0,0,0
7061,Dhole Patil Road,Quick Bites,0,0.0,400,"North Indian, Chinese",0,0,0,0,0
7062,Wadgaon Sheri,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
7063,Satara Road,Delivery,0,0.0,0,"Biryani, North Indian",0,0,0,0,0
7064,Pimpri,Quick Bites,0,0.0,200,Fast Food,0,0,0,0,0
7065,Kothrud,Beverage Shop,0,0.0,150,Beverages,0,0,0,0,0
7066,Karve Nagar,"Takeaway, Delivery",12,3.2,0,"North Indian, Chinese",0,0,0,0,0
7067,Dhankawadi,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
7068,Narhe,Quick Bites,0,0.0,200,South Indian,0,1,0,0,0
7069,Wadgaon Sheri,"Takeaway, Delivery",0,0.0,0,Maharashtrian,0,1,0,0,0
7070,Sinhgad Road,Quick Bites,0,0.0,400,North Indian,0,0,0,0,0
7071,Wakad,Food Court,0,0.0,100,Fast Food,0,0,0,0,0
7072,Khandala,Casual Dining,0,0.0,600,"South Indian, North Indian, Maharashtrian, Chinese",0,0,0,0,0
7073,Kothrud,Beverage Shop,0,0.0,150,Beverages,0,0,0,0,0
7074,Fatima Nagar,Quick Bites,0,0.0,400,North Indian,0,0,0,0,0
7075,Viman Nagar,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
7076,Baner,Beverage Shop,0,0.0,100,Juices,0,0,0,0,0
7077,Pimple Gurav,Quick Bites,0,0.0,400,Maharashtrian,0,0,0,0,1
7078,Wagholi,Quick Bites,0,0.0,650,"North Indian, Chinese, South Indian",0,0,0,0,0
7079,Pimpri,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
7080,Khandala,Casual Dining,0,0.0,600,"Fast Food, Mughlai, North Indian, Chinese",0,0,0,0,0
7081,Pimpri,Quick Bites,4,2.9,400,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
7082,Kharadi,"Takeaway, Delivery",4,3.0,0,Chinese,0,0,0,0,0
