index,rest_name
873,Supriya Restaurant
874,Durga Hotel
875,Niranjan Veg Restaurant
876,Burger Box
877,Fulka
878,Yaa Rawaji - Fantastic Food
879,The Farm Cafe
880,Mummas Kitchen
881,Mother's Kitchen
882,GeoBistro
883,Vimanzza Cafe
884,The Cheesecake Pops
885,Shree Krishna Veg Court
886,The Basil Deck
887,Flavoro'so
888,The Majestic
889,Curry & More
890,Headquarterss
891,Special 15 Thalis
892,XOzero
893,1st Story - Bar. Kitchen. Co-Work
894,Peter's Pan
895,Master Egg
896,Padmaja Family Restro & Bar
897,The Meal Box
898,It's Mirchi - Ramee Grand Hotel
899,Dadu's Sweet Emporio
900,Food Palace
901,Subway
902,The Beer Cafe
903,Banjaras Homely Kitchen
904,Neer Southern Kitchen & Bar
905,Chandra Cafe
906,Krunch
907,The Hungry Junction
908,RK'S Family Restro & Bar
909,Tamyra The Wireless Kitchen
910,World of Desserts
911,Ganesh Bhel
912,New Naaz Cateres Biryani House
913,How I Mangalore
914,Aham Brahmasmi
915,WarmOven Cake & Desserts
916,5 Spice Chinese
917,Peter's Momo Center
918,Lazeez By Hyderabadi Delicacies
919,3 Spices - DoubleTree By Hilton Hotel
920,Shivshakti Pure Veg
921,Coffee House
922,Priya
923,Cravers Hub
924,OC - The Oriental Cuisine
925,Golden Dragon
926,Cafe Momos
927,The 1st Floor
928,Hyderabadi Zaika
929,Poona Burger Project
930,The Pasta Bistro
931,Yahoo!!! Momos
932,Oregano Pizza
933,Mayur Refreshments
934,Mmyra Lounge
935,Le Petit Amour Patisserie & Bistro
936,Bread Bash
937,The Big Bang Burger
938,Punjab Grill
939,Royal China
940,Skittles - The Sports Bar
941,Roopali Restaurant
942,Mathura
943,Gulp'd meals & more
944,Chhatrapati Special Misal
945,Overloaded
946,Hotel Malabar
947,Golden Curry
948,Richie Rich
949,Jijai Coffee House
950,Oasis
951,Kokkita
952,Soul Spice Restaurant
953,Basho's
954,Sangeeta Restaurant & Bar
955,K
956,Bossa Nova
957,Khichdi Experiment
958,Shreeji Pure Veg
959,Komal Vilas
960,Buzz - Vivanta Pune
961,The Chow Express
962,Maasa
963,Harry's Bar & Kitchen
964,Cafe Maroo
965,Abhishek Non Veg Restaurant
966,Supreme Momos
967,The London Shakes
968,Momoman
969,Best 4 Biryanis
970,Khichadiwala
971,DV's Pizza
972,Rosso Bianco
973,Shree Krishna Pizza
974,Noodle Canteen
975,Post 91 - Goldmine Buffet
976,Swadesi - Dal Baati
977,MRP
978,Sigree
979,Cafe DIP
980,Chung Fa
981,Mix@36 - The Westin
982,Reshma Bhurji Center
983,Oliva Veg
984,Zen Cafe
985,Lal Mirchi
986,Kelly's Cafe & All Day Dining
987,Wrap Mania
988,Waah! Indore
989,CnP House - Chicken And Paratha
990,Pardon My French
991,Krustys Bistro
992,Simply Barbeque
993,Squeezo Foods
994,Spice Culture
995,Srinidhi Veg
996,Bhiwandi Darbar
997,Keraabian Spices Kerala Delivery Kitchen
998,Rice To Meet You
999,Rolls Eat
1000,2 Guys Burger House
1001,Adraq
1002,Patang
1003,46 Lounge Restaurant
1004,Shawarma Spot
1005,Swadisht Idli & Pav Bhaji
1006,Dine Wise
1007,Hangry Panda
1008,Meenakshi Garden Pure Veg
1009,Gokul Chinese
1010,The Oyster
1011,FIR - Fresh Ice Cream Rolls
1012,Jai Bhavani Restaurant
1013,Royal Baking Co
1014,Bengali Sweets And Foods
1015,Idlicious
1016,Hotel Sangrilla
1017,Down Town Multi Cuisine Restaurant
1018,Firangi Bake
1019,Masala Kitchen
1020,Supperyum Court
1021,The Funky Kona
1022,Naivedyam
1023,Curry Leaves
1024,Martand Malhar
1025,Agra Restaurant
1026,Bread Bash
1027,Parvez Kebabs
1028,Ai Shiwu
1029,Green Food
1030,Koko Scoop
1031,सोBar
1032,सोBar
1033,Biryani Adda
1034,Shraavan Restaurant
1035,Reddy's Restaurant
1036,The Window Kitchen
1037,Ground Up
1038,The Chicken Company
1039,Queen Maggie Fries
1040,Bangalore iyangar's bakery
1041,Spices Of North
1042,Albano Shakes & Fries
1043,Wok N Toss
1044,The Egg Factory
1045,Rice Wise
1046,South Of Combo's
1047,Apsara Ice Creams
1048,Reve Patisserie
1049,Kakke Da Paratha
1050,The Cake Studio & Cafe
1051,Maurya Multi Cuisine Restaurant and Bar
1052,Bombay Bites & Creams
1053,Om Sai Ice cream
1054,Thank God For Pizzas
1055,Giridhar
1056,Barfi Box Cafe
1057,Vihaan's
1058,Wok Express
1059,Fusion Cafe
1060,Boss Burger
1061,Rama Krishna
1062,Roti Shoti Aur Kabab
1063,Malhar Khanaval
1064,The Fat Labrador Cafe
1065,Kekiz The Cake Shop
1066,Rio Coastal Gourmet
1067,High On Bollywood Restaurant & Bar
1068,Shiv Kailash
1069,Kohli's Firangi Dhaba
1070,Saffron Multi-Cuisine & Sea Food Restaurant
1071,Master Chef
1072,Hotel Darbar
1073,Happy Breaks
1074,Shree Dining
1075,Om Namo Snacks
1076,Master Chef
1077,Taste Of myINDIA
1078,Kitchen 24x7
1079,Farzi Diet
1080,Sanskruti
1081,Godavari Ruchulu
1082,PK Mutton Bhakri
1083,The Gazebo - World of Veg
1084,Ashapuri Dining Hall
1085,Angaar
1086,Budhani Waferwala
1087,Pastry Corner
1088,Gayatrree
1089,Shree Ganesh Pure Veg
1090,Kangan - The Westin
1091,Kalyan Bhel
1092,"I'm Lion, Strictly Non-Veg"
1093,Bahiram Handi
1094,NIC Natural Ice Creams
1095,China Town
1096,La Pino'z Pizza
1097,Phulka
1098,Kokan Biryani Malvan
1099,Mithas
1100,Two Sticks
1101,Prasanna Pure Veg
1102,Kulfi House
1103,Brownie Point
1104,Queen's Maggie Fries
1105,NIPR Bar
1106,Bipin Snacks & Juice Bar
1107,Botequim Cervejaria
1108,Indore Foods
1109,Kalyani Veg
1110,The Great Punjab
1111,Desi Curries
1112,Mr. Paratha
1113,Cafe Little Eggs
1114,Hotel Al Madeena
1115,The Fake Cafe
1116,Veda's Cafe & Tandoor House
1117,Waff O Grill
1118,South Express
1119,Sugardough
1120,Coco Jambo Tiki Bar
1121,All Time High - Bar & Eatery
1122,Cafe Royal Villa
1123,Hyderabad House
1124,Lazziz - The Hyderabad house
1125,Oh Live
1126,Chilled Affair
1127,Spring Onion
1128,Bangalore Iyengar's Bakery
1129,Jai Malhar Bhojnalya
1130,Awadh E Malwa
1131,Al-Hifazat Kabab's & Caterers
1132,Radio Hotel
1133,Hotel Mahabaleshwar
1134,Wah Marathi Dine N Wine
1135,Farmer's Choice
1136,Caffa
1137,Khandesh Express
1138,Gandharv Restaurant
1139,Kake Da Hotel
1140,Alhamduillah
1141,Sai Sagar
1142,Belleza
1143,Iddos
1144,Ice Cream Magic AADD(M) AADD(B)
1145,Lucknow Spice
1146,Hyderabadi Biryani House
1147,Angrezi Tapri
1148,Urban Hippies
1149,In Green
1150,Olympia
